,Country,Obesity,Overweight,Mortality per 100.000,Alcohol Consumed,latitude,longitude,geometry
83,Japan,3.05882352941176,23.9098039215686,276.147058823529,8.72745098039216,36.5748441,139.2394179,日本
84,Jordan,30.9882352941176,65.2627450980392,532.152941176471,0.611764705882353,31.1667049,36.941628,الأردن
85,Kazakhstan,17.0882352941177,48.9470588235294,914.103921568627,6.74313725490196,47.2286086,65.2093197,Қазақстан
86,Kenya,4.91372549019608,20.9607843137255,612.201960784314,1.72941176470588,1.4419683,38.4313975,Kenya
87,Kiribati,40.7372549019608,74.9843137254902,1380.8137254902,2.85098039215686,0.3448612,173.6641773,Kiribati
88,Kuwait,34.8450980392157,70.2764705882353,364.266666666667,0,29.2733964,47.4979476,الكويت
89,Kyrgyzstan,12.6196078431373,42.9274509803922,822.647058823529,6.42549019607843,41.5089324,74.724091,Кыргызстан
90,Lao People's Democratic Republic,3.1921568627451,19.2156862745098,758.674509803922,6.67254901960784,20.0171109,103.378253,ປະເທດລາວ
91,Latvia,21.0921568627451,55.0686274509804,709.470588235294,10.5843137254902,56.8406494,24.7537645,Latvija
92,Lebanon,28.0549019607843,64.0058823529412,559.717647058823,1.94313725490196,33.8750629,35.843409,لبنان
93,Lesotho,12.556862745098,32.6078431372549,1085.73137254902,5.95098039215686,-29.6039267,28.3350193,Lesotho
94,Liberia,7.43725490196078,26.4588235294118,557.876470588235,5.77450980392157,5.7499721,-9.3658524,Liberia
95,Libya,27.878431372549,62.3392156862745,481.023529411765,0.1,26.8234472,18.1236723,ليبيا
96,Lithuania,23.5823529411765,56.8862745098039,656.096078431373,16.2941176470588,55.3500003,23.7499997,Lietuva
97,Luxembourg,19.1607843137255,55.1882352941176,377.923529411765,13.0901960784314,49.8158683,6.1296751,Lëtzebuerg
98,Madagascar,3.57254901960784,19.5372549019608,720.086274509804,1.7156862745098,-18.9249604,46.4416422,Madagasikara
99,Malawi,4.0078431372549,19.5254901960784,729.194117647059,3.44117647058824,-13.2687204,33.9301963,Malawi
100,Malaysia,11.0313725490196,34.9392156862745,541.505882352941,1.22941176470588,4.5693754,102.2656823,Malaysia
101,Maldives,5.4156862745098,23.3843137254902,542.203921568628,1.87058823529412,4.7064352,73.3287853,ދިވެހިރާއްޖެ
102,Mali,5.89411764705882,22.7117647058824,660.186274509804,1.15490196078431,16.3700359,-2.2900239,Mali
103,Malta,25.9980392156863,63.4745098039216,398.582352941176,6.77058823529412,35.8885993,14.4476911,Malta
104,Mauritania,9.46274509803922,29.0117647058824,488.441176470588,0,20.2540382,-9.2399263,موريتانيا
105,Mauritius,8.56666666666667,28.8725490196078,671.090196078431,4.68039215686274,-20.2759451,57.5703566,Mauritius
106,Mexico,24.5901960784314,60.4392156862745,469.850980392157,5.7764705882353,23.6585116,-102.0077097,México
107,Micronesia (Federated States of),40.0686274509804,71.5823529411765,1142.42352941176,3.09019607843137,38.9073892,-77.0405464,"Embassy of the Federated States of Micronesia, N Street Northwest, Dupont Circle, Washington, District of Columbia, 20037, United States"
108,Mongolia,15.5803921568627,48.9647058823529,1152.63529411765,6.25490196078431,46.8250388,103.8499736,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ
109,Montenegro,19.7901960784314,55.2588235294118,655.409803921569,14.0466666666667,42.9868853,19.5180992,Crna Gora / Црна Гора
110,Morocco,20.9098039215686,54.4117647058824,648.066666666667,0.480392156862745,31.1728205,-7.3362482,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
111,Mozambique,5.12549019607843,22.1313725490196,811.556862745098,1.5921568627451,-19.302233,34.9144977,Moçambique
112,Myanmar,3.66862745098039,19.3588235294118,775.921568627451,0.980392156862745,17.1750495,95.9999652,မြန်မာ
113,Namibia,12.7,33.6098039215686,748.827450980392,2.77058823529412,-23.2335499,17.3231107,Namibia
114,Nepal,2.65686274509804,16.6235294117647,538.839215686275,0.384313725490196,28.1083929,84.0917139,नेपाल
115,Netherlands,16.7117647058824,53.6647058823529,396.962745098039,10.4529411764706,52.15517,5.38721,Nederland
116,New Zealand,26.078431372549,61.6960784313726,375.774509803922,10.8882352941176,-41.5000831,172.8344077,New Zealand / Aotearoa
117,Nicaragua,19.3333333333333,53.0313725490196,563.694117647059,5.13333333333333,12.6090157,-85.2936911,Nicaragua
118,Niger,3.86470588235294,18.3137254901961,620.96862745098,0.329411764705882,17.7356214,9.3238432,Niger
119,Nigeria,6.16274509803922,23.7470588235294,602.686274509804,6.31372549019608,9.6000359,7.9999721,Nigeria
120,North Macedonia,19.5254901960784,54.6686274509804,841.841176470588,6.57647058823529,41.6171214,21.7168387,Северна Македонија
121,Norway,19.4686274509804,54.6019607843137,369.6,7.38627450980392,60.5000209,9.0999715,Norge
122,Oman,22.8705882352941,57.3235294117647,806.558823529412,0.923529411764706,21.0000287,57.0036901,عمان
123,Pakistan,6.04705882352941,23.1392156862745,821.813725490196,0.170588235294118,30.3308401,71.247499,پاکستان
124,Panama,18.6529411764706,53.878431372549,360.827450980392,6.36274509803922,8.559559,-81.1308434,Panamá
